company_id,company_name,industry,category,baseline_statement_id,current_statement_id,baseline_findings,current_findings,mathematical_accuracy,prior_year_tie_out,internal_consistency,spell_grammar,analytical_review,ratio_analysis,wp514_checklist,optional_disclosure_presence
C001,Rove Infra Ltd,Real Estate,internal_consistency_error,6,7,11,27,0,0,1,0,16,3,6,1
C002,Vertex Healthcare Pvt Ltd,EdTech,mathematical_error,8,9,28,30,2,0,0,0,18,3,6,1
C003,Summit Properties Pvt Ltd,Retail,missing_disclosure,10,11,15,31,0,0,0,0,19,3,6,3
C004,Terra Retail Ltd,FMCG,clean,12,13,13,28,0,0,0,0,19,3,6,0
C005,Wren Agro Pvt Ltd,Pharmaceuticals,clean,14,15,12,28,0,0,0,1,18,3,6,0
C006,Lotus Logistics Ltd,Agritech,mathematical_error,16,17,28,29,2,0,0,0,17,3,6,1
C007,Yarrow Healthcare Pvt Ltd,Banking & Finance,missing_disclosure,18,19,28,31,0,0,0,0,19,3,6,3
C008,Kite Energy Pvt Ltd,Renewable Energy,grammar_error,20,21,10,31,0,0,0,2,19,3,6,1
C009,Ivory Finance Pvt Ltd,EdTech,prior_year_tie_out_error,22,23,25,33,0,4,0,0,19,3,6,1
C010,Granite Manufacturing Pvt Ltd,IT Services,clean,24,25,28,28,0,0,0,0,19,3,6,0
C011,Pulse Learning Ltd,FMCG,clean,26,27,28,28,0,0,0,0,19,3,6,0
C012,Future Logistics Ltd,Retail,prior_year_tie_out_error,28,29,11,32,0,4,0,0,18,3,6,1
C013,Frost Enterprises Ltd,EdTech,prior_year_tie_out_error,30,31,10,33,0,4,0,0,19,3,6,1
C014,Wren Foods Ltd,Healthcare,ratio_highlight,32,33,25,28,0,0,0,0,18,3,6,1
C015,Pioneer Chemicals Ltd,Agritech,prior_year_tie_out_error,34,35,12,32,0,4,0,0,18,3,6,1
C016,Basalt Systems Ltd,Pharmaceuticals,ratio_highlight,36,37,10,27,0,0,0,0,17,3,6,1
C017,Summit Foods Ltd,Manufacturing,clean,38,39,11,27,0,0,0,0,18,3,6,0
C018,Maple Manufacturing Pvt Ltd,Healthcare,mathematical_error,40,41,10,31,2,0,0,0,19,3,6,1
C019,Echo Pharma Ltd,Real Estate,missing_disclosure,42,43,12,30,0,0,0,0,18,3,6,3
